SYMBOL,Text,Name,Date,Retweets,Tweet Type,Hashtags,Mentions,Media Type,
MSFT,"RT @IBD_ECarson : Futures aren't open yet, but this will set the stage. Market rally, leadership are in flux; four key earnings reports, coronavirus vaccine news due https://t.co/ZCUotz3wrH $TSLA $MSFT $CMG $INTC $AZN $MRNA $NIO $NKLA https://t.co/eSqvDADlpZ",Investors.com,19/07/2020,0,Retweet,0,0,animated_gif,
MSFT,"Microsoft has continued to pump its Teams platform, but its contribution to the actual business is complicated https://t.co/huhsnxUdSl",WSJ Markets,20/07/2020,1,Tweet,0,0,,
MSFT,moves like we are seeing in Microsoft and Tesla and Amazon are truly insane and unlike any i have ever seen in my life.,Jim Cramer,20/07/2020,613,Tweet,0,0,,
MSFT,"Look, Amazon is a huge position for https://t.co/2Cj9QmVLog. So is Apple. So is Microsoft. I am uncomfortable with these moves. But where to, brute?",Jim Cramer,20/07/2020,8,Tweet,0,0,,
MSFT,Microsoft Is Poised to Report Earnings - And for Substantial Gains: @BruceKamich  https://t.co/rQvIE0YUjr,Jim Cramer,21/07/2020,35,Tweet,0,1,,
MSFT,RT @TheStreet : Microsoft Reports Earnings on Wednesday: 8 Important Things to Watch from @EricJhonsa https://t.co/nTjJPg0HSn,Jim Cramer,21/07/2020,0,Retweet,0,1,,
MSFT,$MSFT Who Is Ready For Earnings?,Benzinga,21/07/2020,5,Tweet,0,0,,
MSFT,PreMarket Prep: Previewing earnings from Tesla $TSLA and Microsoft $MSFT https://t.co/m4mBcncNFA,Benzinga,22/07/2020,5,Tweet,0,0,,
MSFT,"In its filing, Slack claims that Microsoft has illegally tied its collaboration software, Microsoft Teams, to its dominant suite of productivity programs, Microsoft Office, which includes Outlook, Word, Excel and PowerPoint https://t.co/Hy72RogDqn",NYT Business,22/07/2020,6,Tweet,0,0,,
MSFT,"In its filing, Slack claims that Microsoft has illegally tied its collaboration software, Microsoft Teams, to its dominant suite of productivity programs, Microsoft Office, which includes Outlook, Word, Excel and PowerPoint https://t.co/Hy72RogDqn",NYT Business,22/07/2020,6,Tweet,0,0,,
MSFT,@HalftimeReport great discussion of Microsoft tonight...,Jim Cramer,22/07/2020,0,Tweet,0,1,,
MSFT,"One big similarity between now and 2000 is that Microsoft remains one of the largest stocks in the S&amp;P 500.

Market Cap Ranks:
          Then        Now
MSFT   1               2
CSCO   2             22
GE        3           101
WMT    4              9
INTC     5            15",Bespoke,22/07/2020,6,Tweet,0,0,,
MSFT,"Heads Up! 
 
Microsoft and Tesla report earnings after the close. 
 
$MSFT $TSLA",Stocktwits,22/07/2020,35,Tweet,0,0,,
MSFT,$MSFT first move lower. https://t.co/iWAuMobSbD,Stocktwits,22/07/2020,9,Tweet,0,0,photo,
MSFT,$MSFT -2.4%,Joe Weisenthal,22/07/2020,3,Tweet,0,0,,
MSFT,"Microsoft Cloud Strength Drives Fourth Quarter Results

$MSFT ? 2% AH
https://t.co/18JcsBsaW6",Stocktwits,22/07/2020,8,Tweet,0,0,,
MSFT,i suspect the analysts tomorrow will raise numbers and price targets for Microsoft yet people are frantically selling it down six,Jim Cramer,22/07/2020,36,Tweet,0,0,,
MSFT,we have an extensive microsoft report upcoming for Club Members which will out everything in perspective.. i think you will like the bulletin.. https://t.co/2Cj9QmVLog,Jim Cramer,22/07/2020,5,Tweet,0,0,,
MSFT,"Slack Technologies, whose popular collaboration software has become embedded in the routines of millions of workers, said that it had filed a complaint against Microsoft, accusing the tech giant of using its market power to try to crush the upstart rival. https://t.co/esvr7LOl5W",NYT Business,23/07/2020,6,Tweet,0,0,,
MSFT,"Slack Technologies, whose popular collaboration software has become embedded in the routines of millions of workers, said that it had filed a complaint against Microsoft, accusing the tech giant of using its market power to try to crush the upstart rival. https://t.co/esvr7LOl5W",NYT Business,23/07/2020,6,Tweet,0,0,,
MSFT,Microsoft coming all the way back,Jim Cramer,23/07/2020,45,Tweet,0,0,,
MSFT,"Microsoft $MSFT, Tesla $TSLA, and Chipotle $CMG fell on earnings today, but overall, the 94 stocks that reported since yesterday's close were up an average of 1.8% on the day.  Only 16 of 94 missed EPS estimates, and 15 of 94 raised guidance.",Bespoke,23/07/2020,8,Tweet,0,0,,
MSFT,"Some of today's stocks should not have gotten hit as hard as they were and if Microsoft stays down or goes lower, i think it is attractive...  https://t.co/2Cj9QmVLog",Jim Cramer,23/07/2020,48,Tweet,0,0,,
MSFT,"he Nasdaq extended losses Friday, but several growth stocks turned in solid showings $MSFT $AVLR ENTG https://t.co/rbJqGQHF19",Investors.com,24/07/2020,8,Tweet,0,0,,
MSFT,"Mr. Chill points out that you should look at Apple, Amazon, Facebook, Microsoft, and Netflix as stocks that may not have been bought at the top. More like the bottom -- Mr. ManSherv. When i meet you should i call you Man? Sherv? Or Sunshine https://t.co/qkKKCnSl0g",Jim Cramer,27/07/2020,3,Tweet,0,0,,
MSFT,"Stocks fall; Microsoft, Wingstop find support, new IPO in buy zone $MSFT $WING $AZEK https://t.co/Ru5tWTP9Vm",Investors.com,28/07/2020,1,Tweet,0,0,,
MSFT,Microsoft crushed them less than we thought they would crush them!!! https://t.co/lyssuJdKXr,Jim Cramer,28/07/2020,17,Tweet,0,0,,
MSFT,"In 1998, the spotlight was squarely on Mr. Gates, co-founder of Microsoft, the tech behemoth of the personal computer era. This time, the leaders of four big technology companies will be in the dock, appearing remotely because of a pandemic. https://t.co/lOITawtH4R",NYT Business,29/07/2020,2,Tweet,0,0,,
MSFT,"In 1998, the spotlight was squarely on Mr. Gates, co-founder of Microsoft, the tech behemoth of the personal computer era. This time, the leaders of four big technology companies will be in the dock, appearing remotely because of a pandemic. https://t.co/lOITawtH4R",NYT Business,29/07/2020,2,Tweet,0,0,,
MSFT,"Huawei Becomes The World's Largest Smartphone Supplier As China Sales Remain High During Pandemic
$AAPL $MSFT 
https://t.co/Wr8c6uXOxN",Benzinga,30/07/2020,0,Tweet,0,0,,
MSFT,"The combined market cap of Apple, Microsoft, and Amazon is more than 2.3 times the market cap of the ENTIRE Russell 2000.",Bespoke,31/07/2020,56,Tweet,0,0,,
MSFT,"Big Tech revenue in first six months of

2019:
Amazon $123bn
Apple $112bn
Alphabet $75bn
Microsoft $64bn
Facebook $32bn

2020:
Amazon $164bn
Apple $118bn
Alphabet $80bn
Microsoft $73bn
Facebook $36bn

What pandemic?",ian bremmer,31/07/2020,475,Tweet,0,0,,
MSFT,"RT @ceciliakang : WOAH Nelly: Microsoft Said to Be in Talks to Buy TikTok, as Trump Weighs Curtailing App via @MikeIsaac @AnaSwanson  https://t.co/38WRYIzK5t",NYT Business,31/07/2020,0,Retweet,0,2,,
MSFT,"RT @ceciliakang : WOAH Nelly: Microsoft Said to Be in Talks to Buy TikTok, as Trump Weighs Curtailing App via @MikeIsaac @AnaSwanson  https://t.co/38WRYIzK5t",NYT Business,31/07/2020,0,Retweet,0,2,,
MSFT,"RT @MikeIsaac : Microsoft is in talks to buy TikTok as Trump considers banning the China-backed app in the United States

with @AnaSwanson

https://t.co/uDOaG2UJBd",NYT Business,31/07/2020,0,Retweet,0,1,,
MSFT,"RT @MikeIsaac : Microsoft is in talks to buy TikTok as Trump considers banning the China-backed app in the United States

with @AnaSwanson

https://t.co/uDOaG2UJBd",NYT Business,31/07/2020,0,Retweet,0,1,,
MSFT,"Microsoft emerges as leading suitor for TikTok’s U.S. business, as Trump plans to order its divestiture from Chinese parent https://t.co/QsZKWOBM56",The Washington Post,31/07/2020,38,Tweet,0,0,,
MSFT,"Did You Trade $MSFT Today?

Check Out Our TikTok: https://t.co/JkFjeNCcWy",Benzinga,01/08/2020,2,Tweet,0,0,,
MSFT,"Trump opposes selling TikTok to U.S. company, as Microsoft considers buying https://t.co/MZp7GlG9s4",Newsweek,01/08/2020,28,Tweet,0,0,,
MSFT,"When Microsoft buys TikTok, all those teens can still use it to troll the President. 

It’s a Trump move against China, not the kids.",ian bremmer,02/08/2020,47,Tweet,0,0,,
MSFT,Microsoft says it intends to continue discussions with TikTok on acquisition after conversation with Trump https://t.co/3aLf9i6Jx7,The Washington Post,02/08/2020,49,Tweet,0,0,,
MSFT,"Uncertainty Surrounds Microsoft's Potential TikTok Acquisition $MSFT

https://t.co/ArVl7PuYNu",Benzinga,03/08/2020,2,Tweet,0,0,,
MSFT,"I think that Tik Tok would be huge for Microsoft. I am not a huge fan, which is probably good because you don't want me as your demo.  But it's a fire sale even at a very high dollar amount",Jim Cramer,03/08/2020,93,Tweet,0,0,,
MSFT,"Microsoft $MSFT Says Looking To Wrap Up TikTok Purchase Talks By Sept. 15, After CEO's Conversation With Trump

https://t.co/NqJ0u1i1W9 https://t.co/oKxETP6vnW",Benzinga,03/08/2020,9,Tweet,0,0,animated_gif,
MSFT,"RT @MikeIsaac : NEW: Here's our inside story on the TikTok Microsoft deal, the tumultuous events of this weekend and why Trump changed his mind

with @AnaSwanson and @maggieNYT 

https://t.co/oXxZUuvbmO",NYT Business,03/08/2020,0,Retweet,0,2,,
MSFT,"RT @MikeIsaac : NEW: Here's our inside story on the TikTok Microsoft deal, the tumultuous events of this weekend and why Trump changed his mind

with @AnaSwanson and @maggieNYT 

https://t.co/oXxZUuvbmO",NYT Business,03/08/2020,0,Retweet,0,2,,
MSFT,"""Rogue"" Trump admin, Microsoft are ""looting"" TikTok: China media https://t.co/i8lBQM3SlW",Newsweek,03/08/2020,8,Tweet,0,0,,
MSFT,Microsoft to continue acquisition discussions with TikTok after talking with Trump https://t.co/v8jHKgkE0r,The Washington Post,03/08/2020,59,Tweet,0,0,,
MSFT,"Microsoft confirms talks to buy TikTok in U.S., aims to finish deal by Sept. 15

$MSFT
https://t.co/4KtXrHSCLL",Stocktwits,03/08/2020,17,Tweet,0,0,,
MSFT,"A deal for TikTok could give Microsoft, best known for databases and operating systems, control of one of the largest and most influential social networks in the country https://t.co/62WlTziJ6Z",NYT Business,03/08/2020,5,Tweet,0,0,,
MSFT,"A deal for TikTok could give Microsoft, best known for databases and operating systems, control of one of the largest and most influential social networks in the country https://t.co/62WlTziJ6Z",NYT Business,03/08/2020,5,Tweet,0,0,,
MSFT,RT @yunheekim22 : A deal with Microsoft buying TikTok’s U.S. operations would resolve one of the most dramatic corporate battles in the U.S.-China feud https://t.co/VgED2atNv6 via @WSJ,WSJ Markets,03/08/2020,0,Retweet,0,1,,
