Symbol,Text,Name,Date,Retweets,Tweet Type,Hashtags,Mentions
BKNG,"Agnes projected $BKNG would out-perform the NASDAQ, it outperformed the NASDAQ by 1.37%, Did you outperform the NASDAQ with it? Join Agnes today https://t.co/X1uPpOoTSZ $INV/$ENIX",Enix Blockchain (Automated),03/09/2020,0,Tweet,0,0
BKNG,"RT @ADBYNOT : Thursday #theSTRAT D setups:
2-2W Cont: 
$CVNA $MYOV $NFLX $ROKU $STNE $TSLA $TTD 
Inside W up: $ONEM
2-2W Rev: $PDD $ZI 
Inside W: $APPS $AYX $BA $BIGC $BKNG $DAL $FSLY $FTCH $GRWG $NET $UAL 
#TrustTheProcess",Jeff,03/09/2020,0,Retweet,2,0
BKNG,"""StockBeat: Macron's Stimulus Plan Backs the CAC 40"" - https://t.co/zAQnaAvsMv

$BKNG $EXPE beast mode with French stimulating",playsmart,03/09/2020,0,Tweet,0,0
BKNG,"Can College Students Save the Hotel Industry?

“Living in a hotel comes with a lot of perks that can make the difference between healthy and sick in a pandemic.”

$MAR $CHH $H $HLT $WYND $MGM $HTHT $EXPE $DESP $BKNG #hotelindustry #hotels #studenthousing
https://t.co/d8qjOuT7tH",Dissecting the Markets,03/09/2020,0,Tweet,3,0
BKNG,@playsmart9 I’m jacked to the tits with $bkng calls,stoner {sports} CFO,03/09/2020,0,Reply,0,1
BKNG,"RT @_inpractise : NEW INTERVIEW: Airbnb vs HomeAway Inventory Quality 

Availability and bookability of inventory is all that matters 

$BKNG $EXPE

https://t.co/FD50vv76zX https://t.co/ndSytdmKNz",RUM HAM,03/09/2020,0,Retweet,0,0
BKNG,"Daily Market Analysis

2/2 in the Elite Trading Room 

Huge wins from our analysis this week 

Join our discord https://t.co/ro0LrEpVkt

$AAPL $TSLA $FB $AMD  $AMZN  $ROKU  $NVDA $BKNG $BYND  $FSLY $INTC $TDOC $GOOGL $ZM $LOW $SDC https://t.co/QSvGgA2BG9",eliteoptionsinvestments,03/09/2020,0,Tweet,0,0
BKNG,"$BKNG  Sep 02    
- Daily stock market timing forecast -    
? Investing view    
=&gt; Neutral - Bullish    
? Search for the daily stock market timing forecast    
https://t.co/cgw2OmhClQ    
? Upper~Lowe... https://t.co/83r5dIyt0D https://t.co/GfSsH4AvdI",pretiming,03/09/2020,0,Tweet,0,0
BKNG,"$BKNG tomorrow long weekend travel...oh my..
Load more? https://t.co/fxwrVBJ6jj",playsmart,03/09/2020,0,Tweet,0,0
BKNG,"MAJOR BUY ALERT: Act now, Wall St/Trump/Fortu... - https://t.co/8MBtetzwAK

$BTC $MSFT $FB $NVDA $BYND $TWLO $BKNG $AMZN $GOOGL $BIDU $BABA $DIS $AAPL $GS $TSLA $NFLX $AMD $BA $CRM $LULU $ROKU",Exact Option Picks,03/09/2020,0,Tweet,0,0
BKNG,"RT @vetleforsland : Michael Burry gave up on deep value investing. 

Portfolio: 
35% in $GOOGL calls 
6% in $BKNG calls
7% in $FB calls
7% in $GS and $JPM calls 

Looks like he’s positioning himself for a huge market meltup. The Big Long? https://t.co/jEBkjnstVX",Georgia Carpenter,03/09/2020,0,Retweet,0,0
BKNG,"Thursday #theSTRAT D setups:
2-2W Cont: 
$CVNA $MYOV $NFLX $ROKU $STNE $TSLA $TTD 
Inside W up: $ONEM
2-2W Rev: $PDD $ZI 
Inside W: $APPS $AYX $BA $BIGC $BKNG $DAL $FSLY $FTCH $GRWG $NET $UAL 
#TrustTheProcess",ANTHONY,02/09/2020,3,Tweet,2,0
BKNG,"$BKNG now $1,948 #FINDITFIRST https://t.co/cjmG0Igp9C",Glare,02/09/2020,0,Tweet,1,0
BKNG,RT @math_to_sleep : Had me a sweet end to August. Always wire out what I need... big shout out to @TradeWithNinja for ?? #sexla aka $TSLA &amp; $BKNG and to @Duckingmoney for ?? $NVDA &amp; $NFLX levels https://t.co/NhnDUXC2ub,DuckingMoney,02/09/2020,0,Retweet,1,2
BKNG,Had me a sweet end to August. Always wire out what I need... big shout out to @TradeWithNinja for ?? #sexla aka $TSLA &amp; $BKNG and to @Duckingmoney for ?? $NVDA &amp; $NFLX levels https://t.co/NhnDUXC2ub,Jael,02/09/2020,1,Tweet,1,2
