Symbol,Text,Name,Date,Retweets,Language,Tweet Type,Hashtags,Mentions,Media Type
FB,"Sheryl Sandberg Announces $20M Facebook Donation for Women, Minority And Veteran-Owned Businesses $FB $SHOP https://t.co/4xQawsuc6E",Benzinga,21/05/2020,0,en,Tweet,0,0,
FB,"Of the 5 FAANG stocks, Amazon $AMZN, Facebook $FB, and Netflix $NFLX all recently touched all-time highs, while Apple $AAPL is just below and Alphabet $GOOG has the farthest to go.  https://t.co/e8LECQTizl https://t.co/LeXSDv4rhe",Bespoke,22/05/2020,14,en,Tweet,0,0,photo
FB,"Never waste a crisis: inside Saudi Arabia’s shopping spree. $325bn Public Investment Fund has spent billions on overseas deals even as kingdom’s econ struggle. Invested in 20 US &amp; European comps such as BP, Shell, Total, Boeing, Citigroup, Disney, Facebook https://t.co/d6GxjOjjIJ https://t.co/RCWNsOKjZm",Holger Zschaepitz,25/05/2020,246,en,Tweet,0,0,photo
FB,Facebook $FB breakout stats https://t.co/RCsJ7X4tjm,Top Breakout Stocks,27/05/2020,0,en,Tweet,0,0,
FB,"Trump threatening to shut down @Twitter  $FB, Instagram, Tic Tac, Youtube etc... https://t.co/DW9b3hqfFV",Sven Henrich,27/05/2020,44,en,Tweet,0,1,
FB,"Trump threatening to shut down @Twitter  $FB, Instagram, Tic Tac, Youtube etc... https://t.co/DW9b3hqfFV",Sven Henrich,27/05/2020,44,en,Tweet,0,1,
FB,Facebook Ignored Internal Research Showing It Encourages Polarization And Extreme Views $FB https://t.co/vW5EcObsOK,Benzinga,27/05/2020,0,en,Tweet,0,0,
FB,All 4 of the FANG stocks are set to open lower this AM even with $SPY set to open up 1%+.  Near-term rotation out of these names began intraday yesterday.  $AMZN $FB $GOOG $NFLX  https://t.co/H4p1RcpfIn https://t.co/cczmwLEkGE,Bespoke,27/05/2020,8,en,Tweet,0,0,photo
FB,RT @IBD_ECarson : Dow futures fall as market awaits Trump's China press conference https://t.co/z6HMwWsGsA $CRM $ZS $FB $VEEV $OKTA $COST https://t.co/HRlO5mw8Fe,Investors.com,29/05/2020,0,en,Retweet,0,0,photo
FB,"$MSFT looks to join $FB, KKR, Silver Lake, Vista Eq Partners &amp; General Atlantic w/a $2B stake in RIL’s Jio Platforms. Accelerating its digital platform. https://t.co/fhcwL8aWpF",Stephanie Link,30/05/2020,5,en,Tweet,0,0,
FB,Facebook $FB breakout stats https://t.co/RCsJ7Xm4aU,Top Breakout Stocks,02/06/2020,0,en,Tweet,0,0,
FB,"Zuckerberg defends his approach to Trump’s posts in an employee meeting, initially scheduled for Thur. Meeting came a day after a large number of Facebook employees participated in a “virtual walkout.”  https://t.co/6agJN46m6A https://t.co/RxvOjREcff",Holger Zschaepitz,02/06/2020,26,en,Tweet,0,0,photo
FB,"How Cameo, Facebook And Peloton Are Embracing Coronavirus Disruption $FB $PTON https://t.co/bgd6he3Z6W",Benzinga,03/06/2020,0,en,Tweet,0,0,
FB,"The combined market cap of Alphabet $GOOGL, Apple $AAPL, Amazon $AMZN, Facebook $FB, and Microsoft $MSFT hit $5.73 trillion today, a new all-time high. https://t.co/2bYlMLwf7j",Bespoke,05/06/2020,34,en,Tweet,0,0,photo
FB,Facebook $FB breakout stats https://t.co/RCsJ7Xm4aU,Top Breakout Stocks,05/06/2020,0,en,Tweet,0,0,
FB,"#Facebook &amp; the creation of a US oligarch. To stay this big and unregulated, the social media platform can’t afford to upset rulers. Its goals, to make Croesus-style profits &amp; stay as big as possible, are aligned with Mr Trump’s goal of winning a 2nd term  https://t.co/wPCtgevSG2 https://t.co/CbPH58QfZX",Holger Zschaepitz,07/06/2020,90,en,Tweet,1,0,photo
FB,"RT @GunjanJS : Crazy that at the end of 2013, Exxon Mobil had more influence on the S&amp;P 500 than Facebook does today

Big and small investors are snapping up tech stocks, undeterred by the worst economic slump and civil unrest in decades  https://t.co/RQvUAMrcFB via @WSJmarkets @AmrithRamkumar https://t.co/Q7RsLg0HRQ",WSJ Markets,07/06/2020,0,en,Retweet,0,2,photo
FB,"RT @IBD_ECarson : Dow futures rise with these eight elite stocks near buy points; three steps for investors to take now
https://t.co/kDKxlHJyTW $AAPL $AMZN $MSFT $DXCM $NOW $UNH $FB $NVDA https://t.co/eRrVhgYyH3",Investors.com,07/06/2020,0,en,Retweet,0,0,photo
FB,The Nasdaq composite led on Tuesday while the S&amp;P 500 took a little break. $FB $NFLX $WING https://t.co/PCV60kdUQC,Investors.com,09/06/2020,1,en,Tweet,0,0,
FB,"In case you missed it: Combined mkt cap of FANGMAN (#Facebook, #Amazon, #Netflix, #Google, #Microsoft, #Apple, #Nvidia) has hit fresh ATH at $6.3tn, more than the combined GDP of #Germany ($3.9tn) and #Italy ($2.1tn). https://t.co/yyYRQ86f9Z",Holger Zschaepitz,10/06/2020,387,en,Tweet,9,0,photo
FB,Facebook $FB breakout stats https://t.co/RCsJ7Xm4aU,Top Breakout Stocks,10/06/2020,0,en,Tweet,0,0,
