Symbol,Text,Name,Date,Favorites,Retweets,Tweet Type,Hashtags,Media Type
APPLE,"Good morning from #Germany, where corona crisis is again revealing country's strong structural weakness. There are no big tech giants to profit from accelerated digitalization. W/mkt cap of &gt;€1tn each, Microsoft, Apple, Amazon are bigger than entire industry-heavy Dax w/30 comps https://t.co/Slrbr2zHyo",Holger Zschaepitz,21/04/2020,338,148,1,0,photo
GOOG,"RT @IBD_ECarson : After Hours: Intel, Google News Hits Futures, These Four Giants https://t.co/2VvsWwCLkX $INTC $GOOGL $GILD $FB $AMD $NVDA $MSFT https://t.co/XpmSjaWTs5",Investors.com,24/04/2020,0,0,0,0,photo
APPLE,"Apple Analyst Braces For 'Friday The 13th'-Like Q2, Says iPhone On Track $AAPL https://t.co/byGVYlfh5X",Benzinga,24/04/2020,3,1,0,0,
APPLE,"RT @IBD_ECarson : Apple, Tesla lead stocks near buy points with earnings due; Dow futures fall
https://t.co/dwpb5MR7Z1 #coronavirus $TSLA $AAPL $NVDA $AMD $MSFT $BABA $ADBE https://t.co/tb6eotzhVg",Investors.com,26/04/2020,0,0,1,0,photo
GOOG,Here's a look at historical Q1 reports for $AMZN $AAPL $GOOG $FB and $MSFT  https://t.co/CFOs03mPFE via @bespokeinvest,Bespoke,27/04/2020,12,6,0,1,
GOOG,@LizAnnSonders @DataArbor @Google Tell that to a teenager.,Bespoke,27/04/2020,0,0,0,3,
APPLE,RT @CNBC : Doctors apply for SBA coronavirus funding in struggle to keep practices afloat during the pandemic https://t.co/erDXa9hgKW,Bespoke,27/04/2020,0,0,0,0,
APPLE,RT @MarketSmith : Four Stocks In Or Near Buy Zones Include Dow Jones Leaders Apple And Microsoft; Tesla Breaks Out https://t.co/oI0RTRB0es,Investors.com,27/04/2020,0,0,0,0,
GOOG,"RT @IBD_ECarson : After Hours: Google, AMD Lead Key Earnings Movers; Futures Rise https://t.co/nAKuGE0dl5 $GOOGL $AMD $MASI $AKAM $DXCM $BA $FB $TSLA $MSFT https://t.co/2sBDRq33K0",Investors.com,28/04/2020,0,0,0,0,photo
GOOG,"""Withdraws Guidance"" hitting 100 this week on Google Trends. https://t.co/cxr54AHq9y",Stocktwits,28/04/2020,38,14,0,0,photo
GOOG,RT @djtgallagher : Google has a tough year ahead. It's optically-decent Q1 results are barely a hint of it. For @WSJheard - https://t.co/CzUiwXdBPT,WSJ Markets,28/04/2020,0,0,0,1,
GOOG,"Google-parent Alphabet reports a 13% rise in first-quarter revenue, a sign that big tech might weather the pandemic better than others sectors https://t.co/L7T0ooz3qU",WSJ Markets,28/04/2020,11,5,0,0,
APPLE,"RT @JChengWSJ : The coronavirus is forcing Apple to delay ramped-up production of its iPhones by about a month while Foxconn, which assembles iPhones in China, has halted hiring for several weeks.
@Kubota_Yoko https://t.co/J8IktWfVPS",WSJ Markets,28/04/2020,0,0,0,1,
APPLE,How Large Apple Option Traders Are Positioning Ahead Of Earnings $AAPL https://t.co/zP0iCKVH70,Benzinga,28/04/2020,1,1,0,0,
GOOG,"RT @IBD_ECarson : Google is fueling futures this morning, in part because it's lifting several other tech titans. $GOOGL $FB $AMZN $MSFT https://t.co/worlFJIV9E",Investors.com,29/04/2020,0,0,0,0,
GOOG,Heard on the Street: Google’s core business has plenty of sick days ahead https://t.co/McLWvsf9tf,WSJ Markets,29/04/2020,5,1,0,0,
GOOG,"RT @srussolillo : This is pretty stunning: Google’s revenue has risen in every quarter of its history.

via @realrobcopeland 

https://t.co/oKSlNrlId2",WSJ Markets,29/04/2020,0,0,0,1,
APPLE,"Big Tech has become too big to fail, thanks to #coronavirus. #Amazon has been an essential service keeping households supplied during the pandemic. Alliance between #Apple and Alphabet’s #Google on contact tracing is seen as key to reopening economies. https://t.co/T1ZxStAkSN https://t.co/fPLKtPdECx",Holger Zschaepitz,29/04/2020,230,126,4,0,photo
APPLE,"Stocks soar on Gilead Covid drug; Apple at buy point, Netflix makes bullish move $GILD $AAPL $NFLX Watch Stock Market Today here: https://t.co/tQPyD3ZegE https://t.co/IbZrlKrsYh",Investors.com,29/04/2020,14,4,0,0,photo
APPLE,Apple Eyes Buy Point With Results Due: Investing Action Plan https://t.co/1QcWEhfW0U,Investors.com,29/04/2020,2,2,0,0,
APPLE,RT @djtgallagher : Apple and Amazon results today proved to be a tale of two tech giants not equally suited to the pandemic and its aftermath. For @WSJheard - https://t.co/6DNcn0HpaU,WSJ Markets,30/04/2020,0,0,0,1,
APPLE,Apple reported a slight uptick in revenue for its latest quarter even as the coronavirus shut down factories and dented sales in China https://t.co/h8l0C9fOSM,WSJ Markets,30/04/2020,4,4,0,0,
APPLE,New York’s MTA delayed a $1 billion bond sale this week as it grapples with a drastic drop in ridership and cuts in state aid https://t.co/NbqelJMpmj,WSJ Markets,30/04/2020,2,4,0,0,
APPLE,"Apple raised its dividend by 6%. 

""We are confident in our future and continue to make significant investments in all areas of our business to enrich our customers' lives... including our five-year commitment to contribute $350 billion to the United States Economy"" via @tim_cook",Stocktwits,30/04/2020,91,19,0,1,
APPLE,"Don't forget, Apple and Amazon report earnings after the close.",Stocktwits,30/04/2020,65,10,0,0,
APPLE,"Apple Reports Big Q2 Earnings Beat, Driven By Record Services Revenue $AAPL https://t.co/DGzMgWiFyd",Benzinga,30/04/2020,2,0,0,0,
APPLE,"RT @IBD_ECarson : Futures fall sharply on Apple, Amazon earnings as four tech giants test buy points https://t.co/0Uwy88i6vi $AMZN $AAPL $TEAM $TSLA $AMGN $GILD #Tesla https://t.co/nqs0WgOSyr",Investors.com,30/04/2020,0,0,1,0,photo
APPLE,"S&amp;P, Dow fall by more than 2% after Amazon, Apple show they aren’t immune to coronavirus slowdown
 https://t.co/VbKhn2O6hJ",WSJ Markets,01/05/2020,3,2,0,0,
APPLE,Apple will do fine once life returns to normal; Amazon will do much better in the meantime https://t.co/ikCujUKPhV,WSJ Markets,01/05/2020,9,1,0,0,
APPLE,32 Stocks Moving in Friday's Pre-Market Session $SPI $ATHX $MTP $TNXP $PXLW $EYES $OSTK $CURO $WDC $RL $CHK $AMZN $AAPL https://t.co/Ygm0WgdNby,Benzinga,01/05/2020,6,4,0,0,
APPLE,"Apple Shows Signs Of Recovery From Coronavirus, Doesn't Shake Bulls With Lack Of Guidance $AAPL https://t.co/FkfsaR0crO",Benzinga,01/05/2020,3,0,0,0,
APPLE,"@Apple Makes It Easier to Unlock iPhone While Wearing Face Mask
After complaints that consumers cannot log into their iPhones while wearing face masks, Apple (AAPL) is testing new software to address the issue.
#AAPL #Apple #coronavirus #investorsbusinessdaily https://t.co/IIWC6kAE1O",Investors.com,01/05/2020,0,0,4,1,video
APPLE,"RT @charliebilello : Apple has bought back $338 billion in stock over the past 7 years, which is greater than the market cap of 491 companies in the S&amp;P 500.

$AAPL",Stocktwits,02/05/2020,0,0,0,0,
APPLE,Tim Cook On Warren Buffett: 'I Don't Think There's A Better Teacher' $AAPL $BRK.A $BRK.B https://t.co/m8KOvHBikk,Benzinga,02/05/2020,4,0,0,0,
APPLE,"Apple Data Shows Shelter-In-Place Is Ending, Whether Governments Want It To Or Not https://t.co/i6FUJrr6qg",Bespoke,02/05/2020,32,14,0,0,
APPLE,"Apple Shows Signs Of Recovery From Coronavirus, Doesn't Shake Bulls With Lack Of Guidance $AAPL https://t.co/moXhqekJH1",Benzinga,03/05/2020,1,0,0,0,
GOOG,"Warren Buffett Says There's No Bubble In FANG Stocks, But He's Still Not Buying $FB $AMZN $NFLX $GOOGL https://t.co/CVipDYTqDv",Benzinga,04/05/2020,8,3,0,0,
APPLE,Apple Grows Smartphone Market Share Even As Overall Market Declines At Record Pace $AAPL $XIACF https://t.co/vR7qcApjoS,Benzinga,04/05/2020,5,3,0,0,
GOOG,YouTube Signs Gamer #PewDiePie To Exclusive Streaming Deal $GOOG $AMZN $MSFT https://t.co/nQuMqqr530,Benzinga,05/05/2020,1,1,1,0,
APPLE,What Apple's #WWDC2020 Invite Says About This Year's Virtual Presentation $AAPL https://t.co/HugoPqPNwF,Benzinga,05/05/2020,0,0,1,0,
APPLE,"RT @DKThomp : Nashville is under ""stay-at-home"" orders. Stockholm is ""open for business."" 

But per Apple data, iPhone users in these cities have nearly the exact same adjustment in driving, walking, and transit use https://t.co/44CEwRapZg",Bespoke,05/05/2020,0,0,0,0,photo
APPLE,"RT @jimcramer : Schwab soon to offer fractional shares--exactly what the younger investors, who don't know from stock splits, want. They buy Amazon, Tesla, Alphabet and Apple when they get the chance..",Bespoke,05/05/2020,0,0,0,0,
GOOG,"A Low-Cost, FAAMNG-Heavy ETF For May $MGK $FB $AAPL $AMZN $MSFT $NFLX $GOOG https://t.co/7XqxDlR4hA",Benzinga,06/05/2020,3,2,0,0,
GOOG,"Scotts Miracle-Gro $SMG at all-time highs.  You'll kick yourself for not buying this one when it was down 40% on March 20th... (Google search trends for ""lawn"" and SMG chart) https://t.co/UoS4nUo0mV",Bespoke,06/05/2020,14,4,0,0,photo
APPLE,"101 US stocks with market caps above $500 mln have hit 52-week highs since the start of May, and NONE of them are named Microsoft, Apple, Amazon, Alphabet, or Facebook.",Bespoke,08/05/2020,97,35,0,0,
APPLE,Spotify CEO's Apple Barb Backfires As Sonos Points Out The 'Solid Irony' $SPOT $SONO $AAPL https://t.co/Tj2XrY8ef5,Benzinga,10/05/2020,1,0,0,0,
APPLE,"RT @IBD_MLarkin : Four new #stocks added to the list, but who replaces #Apple and #Paypal? 

These Are The 5 Best Stocks To Buy And Watch Now

https://t.co/SKNteVVxow",Investors.com,10/05/2020,0,0,3,0,
GOOG,"RT @GoogleTrends : “What beaches are open in Southern California” spiked +1,050%, past week

“Are bioluminescent waves still there?” spiked +2,550%, past week 

More #covid data: https://t.co/QMzhzcUvqQ https://t.co/bsP8cQ0VM1",Bespoke,11/05/2020,0,0,1,0,photo
GOOG,Google search trends for Etsy $ETSY.  Wild to see the dip to lows in mid-March and an explosion since. https://t.co/AiTvS7aZhP,Bespoke,11/05/2020,11,2,0,0,photo
APPLE,"Analyst Polishes Apple Price Target On 'Teflon-Like' Services, iPhone 12 Outlook $AAPL https://t.co/25ud0l09qn",Benzinga,12/05/2020,0,0,0,0,
APPLE,Apple $AAPL is now less than 4% from its all-time intraday high of $327.85 seen on January 29th. https://t.co/KgsraJwXcA,Bespoke,12/05/2020,7,4,0,0,photo
APPLE,"9 of 30 Dow stocks now overbought, with Apple $AAPL the most extended.  Apple is now less than 4% from its all-time high seen on January 29th.  https://t.co/H4p1RcpfIn https://t.co/iikCYKKQrR",Bespoke,12/05/2020,21,6,0,0,photo
